wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
WK158604,Wijk 04 Lievelde,2018,4.216641241222921,0.11437639007923599,-7.684485273671853e-4,0.10496525385646241,0.11325724147842052,-0.1636097622085146,0.060532105480234535
WK158604,Wijk 04 Lievelde,2020,4.211922991728444,0.10965814058475803,-0.0020512747339292863,0.10520891448178933,0.1042975177835697,-0.16227986079893722,0.06448284385226531
WK158604,Wijk 04 Lievelde,2022,4.222583986887529,0.1203191357438438,5.27315424558898e-4,0.11295368127237625,0.10442668666594294,-0.16084282728314964,0.06325427966411504
WK158605,Wijk 05 Vragender,2002,4.2229336160099455,0.12066876486626057,NA,NA,NA,NA,NA
WK158605,Wijk 05 Vragender,2008,4.209036279704214,0.10677142856052853,NA,NA,NA,NA,NA
WK158605,Wijk 05 Vragender,2012,4.18796951427096,0.08570466312727439,NA,NA,NA,NA,NA
WK158605,Wijk 05 Vragender,2014,4.208310981690472,0.10604613054678712,-0.02669820657103348,0.12232258202148384,0.12188200499388922,-0.19143819692391087,0.07997794702635816
WK158605,Wijk 05 Vragender,2016,4.178299692258692,0.07603484111500733,NA,NA,NA,NA,NA
WK158605,Wijk 05 Vragender,2018,4.209789830236352,0.10752497909266764,-0.015448031180408687,0.12201092242648545,0.11700254355725301,-0.19603227005302196,0.0799918143423596
WK158605,Wijk 05 Vragender,2020,4.194495757426458,0.09223090628277267,-0.021023850459978434,0.12086409255064315,0.11140323764608907,-0.18413437977610558,0.06512180632212412
WK158605,Wijk 05 Vragender,2022,4.190376301698474,0.08811145055478868,-0.022513692569820432,0.11984379163938795,0.10792675873104393,-0.18658720898136866,0.06944180173554554
WK158606,Wijk 06 Groenlo,2002,4.0892202199791265,-0.013044631164558897,NA,NA,NA,NA,NA
WK158606,Wijk 06 Groenlo,2008,4.123797594480724,0.02153274333703911,NA,NA,NA,NA,NA
WK158606,Wijk 06 Groenlo,2012,4.137497966751878,0.03523311560819273,NA,NA,NA,NA,NA
WK158606,Wijk 06 Groenlo,2014,4.151834721589039,0.049569870445354304,-0.0022059410659031418,0.07968049142190876,0.06006445414468732,-0.10321445973736734,0.015245325682028424
WK158606,Wijk 06 Groenlo,2016,4.142944710028647,0.0406798588849622,NA,NA,NA,NA,NA
WK158606,Wijk 06 Groenlo,2018,4.156552752792225,0.05428790164853914,0.0012792719779909614,0.07321676025102487,0.061565510230097965,-0.1025430558920644,0.02076941508148946
WK158606,Wijk 06 Groenlo,2020,4.169754144876919,0.06748929373323345,0.007115604171579363,0.08213726640879149,0.05516011030212865,-0.09353408906105155,0.01661040191178522
WK158606,Wijk 06 Groenlo,2022,4.177762075656597,0.07549722451291177,0.009123345105347963,0.08334420810362518,0.05472710670587794,-0.0963797046796898,0.02468226927775022
WK158607,Wijk 07 Marienvelde,2002,4.099222085706059,-0.0030427654376266413,NA,NA,NA,NA,NA
WK158607,Wijk 07 Marienvelde,2008,4.12313203609585,0.020867184952164868,NA,NA,NA,NA,NA
WK158607,Wijk 07 Marienvelde,2012,4.144040933687633,0.0417760825439477,NA,NA,NA,NA,NA
WK158607,Wijk 07 Marienvelde,2014,4.163347897642805,0.061083046499119734,-0.014041123252611776,0.13416427375891754,0.12876279305573746,-0.26069292035077946,0.07289002328785565
WK158607,Wijk 07 Marienvelde,2016,4.1673242626780125,0.06505941153432751,NA,NA,NA,NA,NA
